DATEMONTHINT,STATION,PERIOD,RIDERS_PER_WEEKDAY,
201010,Addison Road,Evening,208.2,
201010,Addison Road,Late Night Peak,5.9,
201010,Addison Road,Midday,745.2,
201010,Addison Road,PM Peak,407.8,
201010,Anacostia,AM Peak,3136.8,
201010,Anacostia,Evening,594.7,
201010,Anacostia,Late Night Peak,21.5,
201010,Anacostia,Midday,1931.4,
201010,Anacostia,PM Peak,1621.5,
201010,Archives-Navy Memorial,AM Peak,355.9,
201010,Archives-Navy Memorial,Evening,1173.5,
201010,Archives-Navy Memorial,Late Night Peak,33.5,
201010,Archives-Navy Memorial,Midday,1630.8,
201010,Archives-Navy Memorial,PM Peak,6053.2,
201010,Arlington Cemetery,AM Peak,12.7,
201010,Arlington Cemetery,Evening,0.7,
201010,Arlington Cemetery,Late Night Peak,1,
201010,Arlington Cemetery,Midday,636.3,
201010,Arlington Cemetery,PM Peak,597.8,
201010,Ballston,AM Peak,4703.4,
201010,Ballston,Evening,1248.9,
201010,Ballston,Late Night Peak,52.3,
201010,Ballston,Midday,2374.5,
201010,Ballston,PM Peak,4097.2,
201010,Benning Road,AM Peak,1652.3,
201010,Benning Road,Evening,257.6,
201010,Benning Road,Late Night Peak,10.1,
201010,Benning Road,Midday,788.1,
201010,Benning Road,PM Peak,491.4,
201010,Bethesda,AM Peak,3328.5,
201010,Bethesda,Evening,1508,
201010,Bethesda,Late Night Peak,78.3,
201010,Bethesda,Midday,2152.7,
201010,Bethesda,PM Peak,3447.9,
201010,Braddock Road,AM Peak,2597.8,
201010,Braddock Road,Evening,278.3,
201010,Braddock Road,Late Night Peak,10.5,
201010,Braddock Road,Midday,780.6,
201010,Braddock Road,PM Peak,908.9,
201010,Branch Avenue,AM Peak,5035.1,
201010,Branch Avenue,Evening,261.8,
201010,Branch Avenue,Late Night Peak,5.1,
201010,Branch Avenue,Midday,929.5,
201010,Branch Avenue,PM Peak,580.3,
201010,Brookland,AM Peak,2042.9,
201010,Brookland,Evening,1051.8,
201010,Brookland,Late Night Peak,33,
201010,Brookland,Midday,1822.8,
201010,Brookland,PM Peak,2695.4,
201010,Capitol Heights,AM Peak,1250.8,
201010,Capitol Heights,Evening,132.7,
201010,Capitol Heights,Late Night Peak,7.8,
201010,Capitol Heights,Midday,432.6,
201010,Capitol Heights,PM Peak,261.9,
201010,Capitol South,AM Peak,899.5,
201010,Capitol South,Evening,1072.1,
201010,Capitol South,Late Night Peak,35.7,
201010,Capitol South,Midday,1786,
201010,Capitol South,PM Peak,4498.1,
201010,Cheverly,AM Peak,1027.8,
201010,Cheverly,Evening,66.9,
201010,Cheverly,Late Night Peak,2.2,
201010,Cheverly,Midday,278.3,
201010,Cheverly,PM Peak,192.6,
