"Group.1","Group.2","Group.3","x"
20009,"Wednesday","03",1.04472917880023
20010,"Wednesday","03",1.03485915492958
20011,"Wednesday","03",1.01370203160271
20012,"Wednesday","03",1.01044642857143
20015,"Wednesday","03",1.06971590909091
20016,"Wednesday","03",1.02687595712098
20017,"Wednesday","03",1.00980672870437
20018,"Wednesday","03",1.00753045404208
20019,"Wednesday","03",1.0026560788609
20020,"Wednesday","03",1.01179742388759
20024,"Wednesday","03",1.0011655011655
20032,"Wednesday","03",1.0109895120839
20036,"Wednesday","03",1.051875
20037,"Wednesday","03",1.06751740139211
20217,"Wednesday","03",1.011875
20373,"Wednesday","03",1
20392,"Wednesday","03",1.04036697247706
20540,"Wednesday","03",1.00375
20001,"Friday","04",1.27150433944069
20002,"Friday","04",1.20724439584472
20003,"Friday","04",1.19454081632653
20004,"Friday","04",1.1
20005,"Friday","04",1.31724709784411
20006,"Friday","04",1.16832740213523
20007,"Friday","04",1.22044967880086
20008,"Friday","04",1.23859348198971
20009,"Friday","04",1.44857462269424
20010,"Friday","04",1.30886824324324
20011,"Friday","04",1.12858749437697
20012,"Friday","04",1.07316636851521
20015,"Friday","04",1.07619318181818
20016,"Friday","04",1.150835499443
20017,"Friday","04",1.17675561797753
20018,"Friday","04",1.14027267960147
20019,"Friday","04",1.14179104477612
20020,"Friday","04",1.14553322166387
20024,"Friday","04",1.0678369195923
20032,"Friday","04",1.13123370981755
20036,"Friday","04",1.3775
20037,"Friday","04",1.33769751693002
20217,"Friday","04",1.155
20373,"Friday","04",1.07822580645161
20392,"Friday","04",1.2408
20540,"Friday","04",1.090625
20001,"Monday","04",1.57856093979442
